data,indicador,horizonte,referencia,base_calculo,mediana,media,desvio_padrao,minimo,maximo,n_respondentes,fonte
2026-09-11,Balança comercial,anual,2026,0,76.95,,,,,40,pdf
2026-09-11,Balança comercial,anual,2026,1,76.9,,,,,27,pdf
2026-09-11,Balança comercial,anual,2027,0,79,,,,,39,pdf
2026-09-11,Balança comercial,anual,2027,1,79,,,,,27,pdf
2026-09-11,Balança comercial,anual,2028,0,77.66,,,,,34,pdf
2026-09-11,Balança comercial,anual,2029,0,80,,,,,29,pdf
2026-09-11,Conta corrente,anual,2026,0,-60,,,,,41,pdf
2026-09-11,Conta corrente,anual,2026,1,-60.85,,,,,26,pdf
2026-09-11,Conta corrente,anual,2027,0,-59.3,,,,,39,pdf
2026-09-11,Conta corrente,anual,2027,1,-58.9,,,,,26,pdf
2026-09-11,Conta corrente,anual,2028,0,-62.36,,,,,30,pdf
2026-09-11,Conta corrente,anual,2029,0,-62,,,,,28,pdf
2026-09-11,Câmbio,anual,2026,0,5.2,,,,,113,pdf
2026-09-11,Câmbio,anual,2026,1,5.2,,,,,75,pdf
2026-09-11,Câmbio,anual,2027,0,5.28,,,,,113,pdf
2026-09-11,Câmbio,anual,2027,1,5.3,,,,,75,pdf
2026-09-11,Câmbio,anual,2028,0,5.3,,,,,83,pdf
2026-09-11,Câmbio,anual,2029,0,5.36,,,,,78,pdf
2026-09-11,Câmbio,mensal,2026-09,0,5.15,,,,,110,pdf
2026-09-11,Câmbio,mensal,2026-09,1,5.15,,,,,,pdf
2026-09-11,Câmbio,mensal,2026-10,0,5.19,,,,,109,pdf
2026-09-11,Câmbio,mensal,2026-10,1,5.18,,,,,,pdf
2026-09-11,Câmbio,mensal,2026-11,0,5.2,,,,,109,pdf
2026-09-11,Câmbio,mensal,2026-11,1,5.19,,,,,,pdf
2026-09-11,DLSP,anual,2026,0,70,,,,,57,pdf
2026-09-11,DLSP,anual,2026,1,70,,,,,45,pdf
2026-09-11,DLSP,anual,2027,0,73.7,,,,,56,pdf
2026-09-11,DLSP,anual,2027,1,73.8,,,,,44,pdf
2026-09-11,DLSP,anual,2028,0,76.43,,,,,51,pdf
2026-09-11,DLSP,anual,2029,0,79.05,,,,,48,pdf
2026-09-11,IGP-M,anual,2026,0,4.54,,,,,67,pdf
2026-09-11,IGP-M,anual,2026,1,4.83,,,,,47,pdf
2026-09-11,IGP-M,anual,2027,0,4.11,,,,,64,pdf
2026-09-11,IGP-M,anual,2027,1,4.1,,,,,44,pdf
2026-09-11,IGP-M,anual,2028,0,3.92,,,,,52,pdf
2026-09-11,IGP-M,anual,2029,0,3.81,,,,,48,pdf
2026-09-11,IGP-M,mensal,2026-09,0,0.66,,,,,66,pdf
2026-09-11,IGP-M,mensal,2026-09,1,1.04,,,,,,pdf
2026-09-11,IGP-M,mensal,2026-10,0,0.59,,,,,66,pdf
2026-09-11,IGP-M,mensal,2026-10,1,0.61,,,,,,pdf
2026-09-11,IGP-M,mensal,2026-11,0,0.57,,,,,66,pdf
2026-09-11,IGP-M,mensal,2026-11,1,0.57,,,,,,pdf
2026-09-11,IGP-M,mensal,infl12m,0,5.01,,,,,62,pdf
2026-09-11,IGP-M,mensal,infl12m,1,5.11,,,,,,pdf
2026-09-11,IPCA,anual,2026,0,4.9,,,,,147,pdf
2026-09-11,IPCA,anual,2026,1,4.95,,,,,111,pdf
2026-09-11,IPCA,anual,2027,0,4.3,,,,,147,pdf
2026-09-11,IPCA,anual,2027,1,4.31,,,,,111,pdf
